timestamp,open,low,high,close,volume
2019-06-21,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-20,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-19,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-18,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-17,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-14,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-13,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-12,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-11,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-10,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-07,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-06,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-05,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-04,66.2900,65.7700,66.6600,65.9600,7340566
2019-06-03,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-31,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-30,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-29,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-28,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-24,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-23,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-22,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-21,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-20,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-17,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-16,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-15,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-14,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-13,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-10,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-09,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-08,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-07,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-06,66.2900,65.7700,66.6600,65.9600,7340566
2019-05-03,66.2900,65.7700,66.6600,65.9600,7340566
